id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
846,mean,0.65,pp,0.825364560320091,0.9137469448135516,1,4,3,12.961481094360352
108,mean,0.5,raw,0.814682625151896,0.9104016336098667,12,15,3,5.74456262588501
108,mean,0.5,pp,0.8131583278491898,0.9042810828245276,1,4,3,10.630146026611328
108,mean,0.55,raw,0.8039978492603768,0.8932390781618309,13,16,3,6.78233003616333
108,mean,0.55,pp,0.8029474484322895,0.8888264357285536,4,7,3,10.800458908081055
108,mean,0.6,raw,0.7909317173488699,0.8785409175479006,18,21,3,7.549834251403809
108,mean,0.6,pp,0.7865468806037115,0.8606006237854825,3,6,3,15.842979431152344
108,mean,0.65,raw,0.7758947894148394,0.860803667159161,20,23,3,10.440306663513184
108,mean,0.65,pp,0.7657486049821196,0.836679920564138,2,5,3,22.187841415405273
608,mean,0.5,raw,0.7993581907116015,0.8889632037486007,6,10,4,24.433584213256836
608,mean,0.5,pp,0.8031993857204608,0.8935849274861881,1,5,4,24.404682159423828
608,mean,0.55,raw,0.8041867576175182,0.8862665980534616,11,15,4,22.913942337036133
608,mean,0.55,pp,0.8064638733462673,0.8948978809346994,1,5,4,22.73427963256836
608,mean,0.6,raw,0.8050761149254252,0.8859078518691463,9,13,4,21.741615295410156
608,mean,0.6,pp,0.802667025864727,0.8810206546488157,0,4,4,22.113344192504883
608,mean,0.65,raw,0.8032121887187932,0.8768237888963047,7,11,4,21.118711471557617
608,mean,0.65,pp,0.801052965257645,0.8756318965146241,0,4,4,21.25558090209961
33,mean,0.5,raw,0.8057965487672247,0.8786136145372629,3,7,4,6.4031243324279785
33,mean,0.5,pp,0.8062005125673584,0.8840363610884886,2,2,4,6.7082037925720215
33,mean,0.55,raw,0.803820762986078,0.8722436751278978,6,10,4,7.211102485656738
33,mean,0.55,pp,0.8051328661779582,0.8778372500745373,0,4,4,7.280109882354736
33,mean,0.6,raw,0.8009574700562071,0.8650429886833351,8,12,4,7.348469257354736
33,mean,0.6,pp,0.7979690966898078,0.8616128414520946,1,3,4,14.21267032623291
33,mean,0.65,raw,0.7970063397561624,0.8525399811259072,9,13,4,8.246211051940918
33,mean,0.65,pp,0.7952457031231085,0.8541870562726627,0,4,4,15.231546401977539
586,mean,0.5,raw,0.7909601806067659,0.8915898133590284,13,17,4,10.049875259399414
586,mean,0.5,pp,0.7871627749520883,0.8861726286194457,1,5,4,12.806248664855957
586,mean,0.55,raw,0.792754264368668,0.8869424485273725,9,13,4,8.062257766723633
586,mean,0.55,pp,0.7890825597497892,0.8809270782885301,1,5,4,13.490737915039062
586,mean,0.6,raw,0.7928328932504359,0.8835557225888144,11,15,4,8.485280990600586
586,mean,0.6,pp,0.7919264477155044,0.8872697901121817,0,4,4,13.747727394104004
586,mean,0.65,raw,0.791692355119815,0.8788944519257241,10,14,4,9.110433578491211
586,mean,0.65,pp,0.7904052765852885,0.8801395996997267,0,4,4,14.071247100830078
53,mean,0.5,raw,0.7922325265363899,0.841004097342274,8,15,7,18.233184814453125
53,mean,0.5,pp,0.7917298282664134,0.8446461904496863,2,5,7,26.495283126831055
53,mean,0.55,raw,0.7900535218991478,0.8409548936662443,6,13,7,22.146085739135742
53,mean,0.55,pp,0.785957743575727,0.8363285309223099,3,4,7,28.284271240234375
53,mean,0.6,raw,0.7848434138199772,0.8358783540239442,5,12,7,23.622024536132812
53,mean,0.6,pp,0.7845046994951351,0.8365504832800508,4,3,7,31.08053970336914
53,mean,0.65,raw,0.7777913114111065,0.8229831407661224,4,11,7,24.196056365966797
53,mean,0.65,pp,0.7780652258073978,0.826571071145487,4,3,7,33.42155075073242
966,mean,0.5,raw,0.829309840495644,0.89797576109283,15,21,6,5.74456262588501
966,mean,0.5,pp,0.8351808609464042,0.9247857865543743,2,4,6,9.110433578491211
966,mean,0.55,raw,0.8313004547552499,0.8954652599851838,16,22,6,6.557438373565674
966,mean,0.55,pp,0.8368992027854895,0.9241455188671244,2,4,6,10.049875259399414
966,mean,0.6,raw,0.830536610011994,0.8985875134074638,14,20,6,9.433980941772461
966,mean,0.6,pp,0.8313669927265255,0.9099323007516255,1,5,6,12.778830528259277
966,mean,0.65,raw,0.827857063836082,0.8902784858736228,17,23,6,11.180339813232422
966,mean,0.65,pp,0.8226553346615959,0.8846049051571242,2,4,6,25.40273094177246
45,mean,0.5,raw,0.7859826632363983,0.8540624142012978,15,18,3,13.190905570983887
45,mean,0.5,pp,0.7826784282293602,0.8469816280302532,2,5,3,13.0
45,mean,0.55,raw,0.7787295600359097,0.8526196985183792,18,21,3,13.0
45,mean,0.55,pp,0.7750792938491166,0.8452214159201961,3,6,3,14.422204971313477
45,mean,0.6,raw,0.7706807093644337,0.8509974442470255,17,20,3,12.649110794067383
45,mean,0.6,pp,0.7658844357114879,0.8362379313296078,2,5,3,26.18010902404785
45,mean,0.65,raw,0.7604169143600807,0.8363908393598218,19,22,3,12.259687423706055
45,mean,0.65,pp,0.7575470270031188,0.8258731202516267,3,6,3,27.0
453,mean,0.5,raw,0.8217379130969233,0.9385180551126633,7,11,4,5.74456262588501
453,mean,0.5,pp,0.8215208864322116,0.9397361561039612,0,4,4,8.66025447845459
453,mean,0.55,raw,0.817452412573618,0.9309348031968208,11,15,4,7.141428470611572
453,mean,0.55,pp,0.816771418816469,0.929327259208592,0,4,4,11.05665397644043
453,mean,0.6,raw,0.8129591827153235,0.9233507679375563,12,16,4,10.488088607788086
453,mean,0.6,pp,0.8066770700354029,0.9104441579667133,0,4,4,19.84943389892578
453,mean,0.65,raw,0.8073119970862563,0.9166176242341123,8,12,4,12.247448921203613
453,mean,0.65,pp,0.8027842227397177,0.905148483974488,0,4,4,20.499998092651367
157,mean,0.5,raw,0.8058588395451936,0.8841675458642252,7,11,4,17.959638595581055
157,mean,0.5,pp,0.804045414781876,0.8879332702455452,1,3,4,17.1318359375
157,mean,0.55,raw,0.805639436842566,0.8824459011273877,9,13,4,16.82852554321289
157,mean,0.55,pp,0.804423039121246,0.885731341637367,1,3,4,16.42102813720703
157,mean,0.6,raw,0.8043962214977197,0.8882409882794609,10,14,4,15.861784934997559
157,mean,0.6,pp,0.8032506931349374,0.8896544963531781,0,4,4,15.633302688598633
157,mean,0.65,raw,0.7998518945180416,0.8874477263881478,9,13,4,15.132745742797852
157,mean,0.65,pp,0.7988756062171266,0.8846605255450023,2,6,4,15.066518783569336
648,mean,0.5,raw,0.8696984622131952,0.931767150681482,16,17,1,2.2360680103302
648,mean,0.5,pp,0.8733009664197239,0.9552643940221487,3,4,1,2.0
648,mean,0.55,raw,0.8684161617675685,0.9391549784141563,12,13,1,2.0
648,mean,0.55,pp,0.8705476257125614,0.9528983979243096,3,4,1,2.2360680103302
