作业 16831428 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=5.00e-04) ---
    [train] iter 860/4443  loss=0.3978
    [train] iter 880/4443  loss=0.3725
    [train] iter 900/4443  loss=0.4278
    [train] iter 920/4443  loss=0.5099
    [train] iter 940/4443  loss=0.4177
    [train] iter 960/4443  loss=0.3951
    [train] iter 980/4443  loss=0.3025
    [train] iter 1000/4443  loss=0.4337
    [train] iter 1020/4443  loss=0.3843
    [train] iter 1040/4443  loss=0.6239
    [train] iter 1060/4443  loss=0.4334
    [train] iter 1080/4443  loss=0.3552
    [train] iter 1100/4443  loss=0.5604
    [train] iter 1120/4443  loss=0.3586
    [train] iter 1140/4443  loss=0.3954
    [train] iter 1160/4443  loss=0.4122
    [train] iter 1180/4443  loss=0.4362
    [train] iter 1200/4443  loss=0.5266
    [train] iter 1220/4443  loss=0.3313
    [train] iter 1240/4443  loss=0.4821
    [train] iter 1260/4443  loss=0.5276
    [train] iter 1280/4443  loss=0.3700
    [train] iter 1300/4443  loss=0.3497
    [train] iter 1320/4443  loss=0.5259
    [train] iter 1340/4443  loss=0.5173
    [train] iter 1360/4443  loss=0.4734
    [train] iter 1380/4443  loss=0.4376
    [train] iter 1400/4443  loss=0.4537
    [train] iter 1420/4443  loss=0.3489
    [train] iter 1440/4443  loss=0.4151
    [train] iter 1460/4443  loss=0.2993
    [train] iter 1480/4443  loss=0.3746
    [train] iter 1500/4443  loss=0.2559
    [train] iter 1520/4443  loss=0.4997
    [train] iter 1540/4443  loss=0.3684
    [train] iter 1560/4443  loss=0.3899
    [train] iter 1580/4443  loss=0.4118
    [train] iter 1600/4443  loss=0.4119
    [train] iter 1620/4443  loss=0.2832
    [train] iter 1640/4443  loss=0.3038
    [train] iter 1660/4443  loss=0.4301
    [train] iter 1680/4443  loss=0.3386
    [train] iter 1700/4443  loss=0.4081
    [train] iter 1720/4443  loss=0.4110
    [train] iter 1740/4443  loss=0.3655
    [train] iter 1760/4443  loss=0.4647
    [train] iter 1780/4443  loss=0.3292
    [train] iter 1800/4443  loss=0.3471
    [train] iter 1820/4443  loss=0.3821
    [train] iter 1840/4443  loss=0.4521
    [train] iter 1860/4443  loss=0.3482
    [train] iter 1880/4443  loss=0.3510
    [train] iter 1900/4443  loss=0.2899
    [train] iter 1920/4443  loss=0.5351
    [train] iter 1940/4443  loss=0.3796
    [train] iter 1960/4443  loss=0.4561
    [train] iter 1980/4443  loss=0.4009
    [train] iter 2000/4443  loss=0.3012
    [train] iter 2020/4443  loss=0.3909
    [train] iter 2040/4443  loss=0.5032
    [train] iter 2060/4443  loss=0.5476
    [train] iter 2080/4443  loss=0.4059
    [train] iter 2100/4443  loss=0.4073
    [train] iter 2120/4443  loss=0.3654
    [train] iter 2140/4443  loss=0.4539
    [train] iter 2160/4443  loss=0.3964
    [train] iter 2180/4443  loss=0.3408
    [train] iter 2200/4443  loss=0.4900
    [train] iter 2220/4443  loss=0.5585
    [train] iter 2240/4443  loss=0.3711
    [train] iter 2260/4443  loss=0.4218
    [train] iter 2280/4443  loss=0.2710
    [train] iter 2300/4443  loss=0.4523
    [train] iter 2320/4443  loss=0.4297
    [train] iter 2340/4443  loss=0.4548
    [train] iter 2360/4443  loss=0.4320
    [train] iter 2380/4443  loss=0.3619
    [train] iter 2400/4443  loss=0.4018
    [train] iter 2420/4443  loss=0.4537
    [train] iter 2440/4443  loss=0.5370
    [train] iter 2460/4443  loss=0.4952
    [train] iter 2480/4443  loss=0.4769
