作业 17180024 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
    [train] iter 2660/15452  loss=0.3883
    [train] iter 2680/15452  loss=0.4134
    [train] iter 2700/15452  loss=0.5793
    [train] iter 2720/15452  loss=0.2928
    [train] iter 2740/15452  loss=0.3362
    [train] iter 2760/15452  loss=0.3177
    [train] iter 2780/15452  loss=0.3608
    [train] iter 2800/15452  loss=0.3471
    [train] iter 2820/15452  loss=0.2982
    [train] iter 2840/15452  loss=0.3643
    [train] iter 2860/15452  loss=0.4584
    [train] iter 2880/15452  loss=0.4860
    [train] iter 2900/15452  loss=0.3443
    [train] iter 2920/15452  loss=0.3584
    [train] iter 2940/15452  loss=0.3271
    [train] iter 2960/15452  loss=0.4427
    [train] iter 2980/15452  loss=0.4512
    [train] iter 3000/15452  loss=0.2922
    [train] iter 3020/15452  loss=0.4465
    [train] iter 3040/15452  loss=0.4181
    [train] iter 3060/15452  loss=0.4581
    [train] iter 3080/15452  loss=0.4223
    [train] iter 3100/15452  loss=0.3768
    [train] iter 3120/15452  loss=0.3586
    [train] iter 3140/15452  loss=0.4057
    [train] iter 3160/15452  loss=0.4232
    [train] iter 3180/15452  loss=0.4927
    [train] iter 3200/15452  loss=0.3514
    [train] iter 3220/15452  loss=0.5117
    [train] iter 3240/15452  loss=0.4535
    [train] iter 3260/15452  loss=0.3768
    [train] iter 3280/15452  loss=0.2969
    [train] iter 3300/15452  loss=0.3168
    [train] iter 3320/15452  loss=0.3728
    [train] iter 3340/15452  loss=0.4369
    [train] iter 3360/15452  loss=0.3558
    [train] iter 3380/15452  loss=0.4010
    [train] iter 3400/15452  loss=0.4423
    [train] iter 3420/15452  loss=0.4095
    [train] iter 3440/15452  loss=0.2969
    [train] iter 3460/15452  loss=0.3325
    [train] iter 3480/15452  loss=0.2985
    [train] iter 3500/15452  loss=0.3291
    [train] iter 3520/15452  loss=0.4728
    [train] iter 3540/15452  loss=0.4656
    [train] iter 3560/15452  loss=0.4142
    [train] iter 3580/15452  loss=0.3967
    [train] iter 3600/15452  loss=0.4902
    [train] iter 3620/15452  loss=0.5057
    [train] iter 3640/15452  loss=0.3530
    [train] iter 3660/15452  loss=0.3247
    [train] iter 3680/15452  loss=0.3276
    [train] iter 3700/15452  loss=0.2719
    [train] iter 3720/15452  loss=0.3507
    [train] iter 3740/15452  loss=0.3089
    [train] iter 3760/15452  loss=0.4148
    [train] iter 3780/15452  loss=0.4196
    [train] iter 3800/15452  loss=0.4851
    [train] iter 3820/15452  loss=0.4511
    [train] iter 3840/15452  loss=0.3436
    [train] iter 3860/15452  loss=0.4103
    [train] iter 3880/15452  loss=0.3274
    [train] iter 3900/15452  loss=0.4524
    [train] iter 3920/15452  loss=0.3976
    [train] iter 3940/15452  loss=0.3232
    [train] iter 3960/15452  loss=0.2753
    [train] iter 3980/15452  loss=0.5382
    [train] iter 4000/15452  loss=0.3627
    [train] iter 4020/15452  loss=0.4240
    [train] iter 4040/15452  loss=0.4135
    [train] iter 4060/15452  loss=0.3676
    [train] iter 4080/15452  loss=0.4512
    [train] iter 4100/15452  loss=0.4691
    [train] iter 4120/15452  loss=0.3402
    [train] iter 4140/15452  loss=0.5295
    [train] iter 4160/15452  loss=0.4197
    [train] iter 4180/15452  loss=0.2756
    [train] iter 4200/15452  loss=0.3631
    [train] iter 4220/15452  loss=0.3056
    [train] iter 4240/15452  loss=0.4833
    [train] iter 4260/15452  loss=0.4003
    [train] iter 4280/15452  loss=0.5203
    [train] iter 4300/15452  loss=0.3595
    [train] iter 4320/15452  loss=0.4966
